,body_unique_words
0,1310
1,1257
2,1099
3,1096
4,1238
5,1889
6,1659
7,790
8,1376
9,1773
10,548
11,2199
12,1628
13,945
14,1045
15,1640
16,1689
17,1198
18,1442
19,1528
20,1822
21,2431
22,1428
23,1516
24,1851
25,1973
26,1576
27,899
28,1093
29,722
30,1241
31,1424
32,647
33,1428
34,1113
35,1751
36,1329
37,2410
38,939
39,1646
40,189
41,1240
42,867
43,1714
44,1001
45,1494
46,601
47,1643
48,1615
49,2027
50,832
51,656
52,1809
53,509
54,1218
55,768
56,1561
57,1060
58,717
59,1121
60,1660
61,1968
62,1219
63,181
64,1392
65,1572
66,1328
67,1404
68,2363
69,1586
70,1003
71,1001
72,1286
73,942
74,2405
75,840
76,1672
77,2369
78,2285
79,511
80,858
81,1365
82,1062
83,1511
84,474
85,1557
86,1216
87,1232
88,937
89,1236
90,952
91,1768
92,1173
93,1131
94,1027
95,1459
96,817
97,1361
98,1152
99,1383
100,1209
101,1477
102,809
103,943
104,1509
105,1186
106,1179
107,1107
108,825
109,923
110,1246
111,1673
112,1388
113,1018
114,1471
115,1928
116,1257
117,1984
118,1245
119,1784
120,1587
121,1105
122,2234
123,1946
124,1353
125,2123
126,1124
127,2046
128,951
129,984
130,1392
131,1135
132,1616
133,1501
134,1378
135,1450
136,780
137,1260
138,1026
139,1897
140,1082
141,2112
142,735
143,1534
144,1585
145,1094
146,859
147,2094
148,1547
149,1672
150,1278
151,1376
152,1673
153,1112
154,2583
155,1036
156,1516
157,1097
158,1473
159,1012
160,1285
161,1392
162,810
163,1570
164,1881
165,1172
166,1354
167,1232
168,1857
169,1946
170,1382
171,991
172,1098
173,1185
174,794
175,1985
176,2865
177,1098
178,1235
179,684
180,1176
181,1743
182,559
183,1335
184,1927
185,1750
186,1074
187,1512
188,1080
189,1015
190,1105
191,1912
192,677
193,1236
194,1127
195,429
196,1046
197,1608
198,1195
199,1384
200,1262
201,1509
202,1196
203,2133
204,1312
205,1946
206,1227
207,1126
208,881
209,1040
210,1133
211,2427
212,1321
213,1308
214,3002
215,1092
216,867
217,479
218,1200
219,1045
220,1120
221,23
222,1204
223,2110
224,2754
225,1398
226,578
227,2410
228,685
229,1554
230,1103
231,755
232,1155
233,1305
234,1377
235,1902
236,891
237,2158
238,1413
239,1448
240,1233
241,1219
242,944
243,1018
244,800
245,1323
246,1808
247,1516
248,991
249,880
250,1041
251,1464
252,1281
253,1094
254,1181
255,1520
256,948
257,1577
258,2128
259,1623
260,1892
261,987
262,1125
263,2182
264,1695
265,1937
266,1040
267,1764
268,2004
269,204
270,1853
271,1854
272,1171
273,1013
274,1931
275,1053
276,1271
277,1307
278,2400
279,851
280,1301
281,1390
282,1941
283,1313
284,1022
285,1104
286,1411
287,1513
288,1419
289,2277
290,1668
291,1633
292,2479
293,1773
294,2118
295,879
296,1161
297,1368
298,807
299,884
300,2603
301,1921
302,543
303,1278
304,965
305,1299
306,876
307,621
308,1141
309,547
310,1419
311,1505
312,1287
313,1834
314,1522
315,1178
316,1125
317,1324
318,1607
319,715
320,1113
321,1688
322,1514
323,938
324,1783
325,1704
326,1603
327,1877
328,756
329,1775
330,1527
331,1445
332,1024
333,2410
334,1659
335,1036
336,930
337,1263
338,1267
339,978
340,931
341,660
342,2485
343,1692
344,2334
345,1515
346,1136
347,655
348,1346
349,1205
350,1523
351,1107
352,1258
353,2061
354,1962
355,1252
356,232
357,768
358,1058
359,1123
360,1665
361,1732
362,989
363,1913
364,1336
365,1549
366,2115
367,1516
368,1510
369,1185
370,1270
371,1523
372,1153
373,1612
374,1064
375,1163
376,1183
377,1168
378,2143
379,1040
380,1068
381,1635
382,1924
383,709
384,1610
385,1488
386,1012
387,960
388,1961
389,1798
390,2065
391,1431
392,1221
393,1534
394,755
395,1160
396,2276
397,1101
398,1340
399,1547
400,1429
401,2330
402,1424
403,963
404,1926
405,1212
406,1991
407,1632
408,645
409,1120
410,888
411,1634
412,868
413,1292
414,1393
415,1817
416,677
417,1394
418,1278
419,2104
420,1282
421,1093
422,1871
423,403
424,1791
425,1120
426,2254
427,1071
428,923
429,1471
430,2508
431,208
432,873
433,774
434,964
435,1867
436,1510
437,1431
438,1262
439,2615
440,1218
441,1492
442,1504
443,1286
444,1463
445,1125
446,1544
447,2183
448,1105
449,1346
450,1535
451,387
452,1631
453,1262
454,1877
455,1433
456,1135
457,2264
458,1469
459,1993
460,1296
461,2017
462,1349
463,1246
464,386
465,2238
466,1809
467,1505
468,1334
469,1525
470,1542
471,2049
472,1426
473,871
474,1273
475,1209
476,924
477,1380
478,1068
479,2729
480,279
481,771
482,1746
483,988
484,1174
485,1410
486,1628
487,1536
488,1423
489,1892
490,1360
491,1510
492,250
493,1958
494,1438
495,1417
496,1411
497,1487
498,646
499,2126
500,1489
501,1550
502,1584
503,1291
504,1664
505,1712
506,2067
507,1927
508,931
509,726
510,1192
511,742
512,1153
513,1779
514,659
515,746
516,1470
517,3702
518,1416
519,2182
520,1080
521,1102
522,1078
523,1054
524,1737
525,1139
526,916
527,2458
528,1084
529,1037
530,1246
531,793
532,690
533,1395
534,1522
535,1855
536,1364
537,1679
538,1757
539,1726
540,2299
541,810
542,1161
543,1284
544,1708
545,1785
546,1638
547,1389
548,1731
549,303
550,1409
551,1149
552,1156
553,1271
554,2039
555,896
556,1426
557,1104
558,1047
559,1453
560,1099
561,926
562,1491
563,2598
564,941
565,1880
566,1622
567,1325
568,1513
569,1743
570,1900
571,1877
572,1170
573,1254
574,1777
575,592
576,1200
577,1509
578,1891
579,1127
580,1947
581,1044
582,2337
583,909
584,1353
585,674
586,1783
587,1650
588,2152
589,2536
590,1687
591,860
592,1656
593,1343
594,1466
595,1424
596,1454
597,1268
598,1180
599,651
600,954
601,1545
602,1358
603,1114
604,1036
605,1623
606,746
607,1433
608,1624
609,1557
610,1778
611,1018
612,1028
613,1357
614,2204
615,1629
616,1707
617,1232
618,2045
619,1332
620,1151
621,1053
622,769
623,1823
624,1290
625,876
626,1052
627,1049
628,999
629,977
630,1827
631,625
632,1138
633,988
634,1275
635,1983
636,2181
637,2136
638,2231
639,844
640,1905
641,1827
642,1429
643,1289
644,1433
645,1667
646,1458
647,1808
648,1009
649,1169
650,882
651,1628
652,1413
653,691
654,1119
655,1345
656,1691
657,1469
658,764
659,2359
660,1956
661,1262
662,1865
663,2173
664,1633
665,2035
666,1510
667,566
668,1378
669,1103
670,889
671,1388
672,1157
673,1658
674,1167
675,1567
676,1515
677,258
678,1252
679,1124
680,673
681,989
682,2393
683,1212
684,1282
685,1195
686,2234
687,1913
688,1438
689,1335
690,1219
691,1325
692,1254
693,738
694,490
695,1532
696,1036
697,2046
698,1439
699,1746
700,1647
701,1067
702,941
703,1200
704,2139
705,900
706,1914
707,1185
708,1352
709,1144
710,773
711,2213
712,1731
713,1052
714,3541
715,3023
716,1250
717,917
718,940
719,895
720,1000
721,1185
722,1809
723,784
724,1856
725,2109
726,821
727,1282
728,1252
729,2278
730,1547
731,1664
732,1827
733,1431
734,2041
735,1708
736,816
737,1808
738,610
739,2009
740,624
741,1448
742,848
743,1522
744,3312
745,2277
746,2328
747,1438
748,1246
749,1485
750,1193
751,1335
752,1150
753,1018
754,1314
755,1331
756,2024
757,711
758,1479
759,1611
760,1133
761,1365
762,1155
763,1437
764,918
765,1593
766,1150
767,1703
768,1361
769,1562
770,1858
771,1186
772,1203
773,1781
774,1139
775,1339
776,1477
777,1710
778,1423
779,2223
780,2433
781,1201
782,489
783,1722
784,1618
785,829
786,732
787,1138
788,1691
789,1194
790,2152
791,1021
792,1354
793,764
794,1098
795,1463
796,1004
797,1427
798,1659
799,621
800,1466
801,1111
802,2015
803,1368
804,382
805,828
806,751
807,1350
808,1804
809,1540
810,1053
811,1907
812,1834
813,841
814,680
815,2100
816,1303
817,1354
818,1279
819,1409
820,1535
821,1426
822,2024
823,1389
824,1185
825,1276
826,1963
827,895
828,1528
829,1076
830,843
831,587
832,1440
833,1163
834,1681
835,1871
836,1497
837,1381
838,1143
839,1001
840,1515
841,1275
842,1689
843,643
844,1392
845,1970
846,848
847,1568
848,1386
849,1855
850,853
851,1218
852,1258
853,1343
854,1670
855,1401
856,1182
857,829
858,1236
859,1752
860,835
861,1705
862,901
863,2282
864,1565
865,1399
866,1267
867,241
868,2082
869,1425
870,1381
871,1262
872,1495
873,1710
874,1857
875,1268
876,552
877,1107
878,2070
879,1749
880,770
881,1002
882,773
883,1856
884,885
885,1770
886,1752
887,1289
888,2108
889,1103
890,1982
891,1813
892,735
893,811
894,926
895,1551
896,533
897,1402
898,1970
899,1815
900,1311
901,1705
902,1311
903,2942
904,1584
905,319
906,1698
907,2162
908,2264
909,1022
910,1561
911,938
912,965
913,828
914,2100
915,1121
916,627
917,1678
918,1232
919,2485
920,1292
921,1413
922,1039
923,2197
924,1475
925,1330
926,1697
927,1158
928,1049
929,991
930,1154
931,871
932,1220
933,1735
934,995
935,1147
936,1230
937,1168
938,1322
939,1208
940,770
941,965
942,966
943,1016
944,1164
945,1606
946,1586
947,1267
948,1026
949,1071
950,1111
951,1545
952,911
953,1299
954,1531
955,1067
956,1668
957,1855
958,1416
959,1030
960,1214
961,1897
962,2086
963,1322
964,1610
965,1754
966,1387
